url,name,model,price,1,2,3,6,7,8,9,10,11,12,13,14
/ad/30089355,Ford Fiesta,1.0 EcoBoost Hybrid mHEV 125 Titanium 5dr Auto Hatchback,"21,000",2022,Automatic,53.3 mpg,Petrol,2022,999cc,504 miles,Petrol,Automatic,Grey,Hatchback,53.3 mpg
/ad/29891062,Ford Puma,1.0 EcoBoost Hybrid mHEV ST-Line 5dr Hatchback,"21,000",2022,Manual,51.4 mpg,Other,2022,999cc,627 miles,Other,Manual,Grey,Hatchback,51.4 mpg
/ad/30830876,Ford Focus,1.0 EcoBoost Hybrid mHEV Active 5dr Auto Rear View Camera,"21,000",2023,Automatic,49.6 mpg,Hybrid,2023,999cc,"2,189 miles",Petrol Hybrid,Automatic,Grey,Hatchback,49.6 mpg
/ad/30904173,Ford Fiesta,a 1.0 EcoBoost Hbd mHEV 125 Titanium Vignal 5dr Auto Hatchback,"21,000",2022,Semi-Auto,53.3 mpg,Petrol,2022,1L,"4,890 miles",Petrol,Semiauto,Grey,Hatchback,53.3 mpg
/ad/30920941,Ford Fiesta,a 1.5 EcoBoost ST-3 3dr Hatchback,"21,000",2022,Manual,40.3 mpg,Petrol,2022,1.5L,"6,660 miles",Petrol,Manual,Green,Hatchback,40.3 mpg
/ad/30832151,Ford Fiesta,a 1.5 EcoBoost ST-3 5dr Hatchback,"21,000",2022,Manual,40.3 mpg,Petrol,2022,1.5L,"6,751 miles",Petrol,Manual,Grey,Hatchback,40.3 mpg
/ad/30676077,Ford Puma,1.0T EcoBoost MHEV Titanium DCT Euro 6 (s/s) 5dr LOW MILEAGE FORD PUMA AUTO SUV,"21,000",2022,Automatic,49.6 mpg,Hybrid,2022,999cc,"8,500 miles",Petrol Hybrid,Automatic,White,SUV,49.6 mpg
/ad/30878571,Ford Kuga,a 1.5 EcoBlue Titanium 5dr Auto SUV,"21,000",2020,Semi-Auto,50.4 mpg,Diesel,2020,1.5L,"8,673 miles",Diesel,Semiauto,Silver,SUV,50.4 mpg
/ad/30579399,Ford Kuga,a 1.5 EcoBlue Titanium Edition 5dr SUV,"21,000",2021,Manual,57.7 mpg,Diesel,2021,1.5L,"9,267 miles",Diesel,Manual,Grey,SUV,57.7 mpg
/ad/30884786,Ford Puma,a 1.0 EcoBoost Hybrid mHEV 155 ST-Line Vignale 5dr SUV,"21,000",2022,Manual,49.6 mpg,Petrol,2022,1L,"9,471 miles",Petrol,Manual,White,SUV,49.6 mpg
/ad/30488934,Ford Fiesta,a 1.5 EcoBoost ST-3 5dr Hatchback,"21,000",2022,Manual,40.3 mpg,Petrol,2022,1.5L,"10,151 miles",Petrol,Manual,White,Hatchback,40.3 mpg
/ad/30870587,Ford Kuga,a 2.0 EcoBlue mHEV ST-Line First Edition 5dr SUV,"21,000",2020,Manual,55.4 mpg,Diesel,2020,2L,"11,332 miles",Diesel,Manual,Grey,SUV,55.4 mpg
/ad/30683618,Ford Kuga,Kuga,"21,000",2019,Manual,40.9 mpg,Petrol,2019,1498.0cc,"11,838 miles",Petrol,Manual,White,4x4,40.9 mpg
/ad/30743225,Ford Puma,a 1.0 EcoBoost ST-Line 5dr Auto SUV,"21,000",2021,Semi-Auto,46.3 mpg,Petrol,2021,1L,"12,052 miles",Petrol,Semiauto,Silver,SUV,46.3 mpg
/ad/27832469,Ford Puma,a 1.0 EcoBoost Hybrid mHEV 155 ST-Line X 5dr SUV,"21,000",2020,Manual,49.6 mpg,Petrol,2020,1L,"13,513 miles",Petrol,Manual,White,SUV,49.6 mpg
